,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
166,1985,8,15,20,47,23.96,38.79001,-122.77707,2.358,0.01,0.008,61,0.011,2.0,53041
167,1985,8,29,15,4,8.95,38.78286,-122.7696,1.237,0.007,0.006,21,0.01,2.2,54202
168,1985,8,30,18,42,45.8,38.78771,-122.77668,0.653,0.015,0.009,66,0.018,1.9,55384
169,1985,9,2,17,12,8.0,38.79465,-122.75044,1.781,0.006,0.004,31,0.006,2.3,54682
170,1985,9,2,21,55,35.95,38.78356,-122.76326,1.066,0.007,0.006,81,0.008,1.9,55385
171,1985,9,3,13,26,20.879,38.78448,-122.75707,1.388,0.008,0.007,179,0.009,2.5,54402
172,1985,9,6,20,49,44.26,38.78408,-122.77567,0.84,0.018,0.015,99,0.036,2.3,54924
173,1985,9,7,6,0,36.504,38.79993,-122.76824,2.054,0.009,0.006,7,0.01,2.5,54834
174,1985,9,7,22,26,5.76,38.78857,-122.77567,1.194,0.013,0.01,85,0.015,1.8,55840
175,1985,9,8,7,33,36.995,38.77831,-122.74705,3.781,0.034,0.014,103,0.037,1.7,54728
176,1985,9,10,16,41,1.585,38.79466,-122.75015,1.343,0.019,0.013,5,0.036,1.6,1131225
177,1985,9,15,0,26,20.781,38.80284,-122.77048,2.102,0.007,0.006,2,0.008,1.9,56139
178,1985,9,16,10,25,43.673,38.78468,-122.76937,0.753,0.009,0.006,126,0.009,2.1,55173
179,1985,9,16,10,27,26.86,38.7844,-122.76978,0.962,0.008,0.006,109,0.008,1.9,56145
180,1985,9,16,20,40,9.92,38.78727,-122.7726,0.489,0.015,0.011,122,0.02,1.9,1131445
181,1985,9,17,7,48,48.115,38.78581,-122.77219,1.426,0.008,0.006,118,0.011,2.5,55251
182,1985,9,18,6,15,14.38,38.784,-122.7736,0.912,0.018,0.017,127,0.031,1.6,1131482
183,1985,9,21,6,31,27.805,38.78593,-122.77338,2.035,0.006,0.005,155,0.007,1.9,55537
184,1985,9,23,1,51,38.636,38.7961,-122.75051,1.672,0.006,0.006,41,0.007,1.6,55630
185,1985,9,24,10,49,45.27,38.80098,-122.77262,1.276,0.029,0.018,25,0.039,3.1,55713
186,1985,9,25,4,37,30.525,38.78127,-122.76807,1.164,0.007,0.006,52,0.008,2.5,55782
187,1985,9,25,14,38,17.38,38.78315,-122.77067,1.534,0.008,0.006,152,0.009,1.7,56412
188,1985,10,1,22,47,56.736,38.8032,-122.77284,1.809,0.009,0.007,42,0.01,1.7,56417
189,1985,10,4,17,58,22.982,38.80364,-122.77332,1.886,0.011,0.007,31,0.01,2.3,57207
190,1985,10,10,0,9,40.82,38.78256,-122.76799,0.717,0.007,0.006,161,0.008,2.5,56587
191,1985,10,10,0,15,8.435,38.78319,-122.76972,0.587,0.009,0.006,112,0.011,1.9,57384
192,1985,10,11,6,50,29.43,38.79103,-122.77635,2.212,0.01,0.008,48,0.009,2.0,56654
193,1985,10,12,0,50,47.55,38.80233,-122.77329,1.958,0.01,0.008,12,0.012,2.0,56727
